Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
HA8,Four or More Bedrooms,20,"2,326","1,878","2,150","2,525"
HA9,One Bedroom,30,"1,092","1,000","1,050","1,148"
HA9,Two Bedrooms,80,"1,413","1,300","1,400","1,500"
HA9,Three Bedrooms,30,"1,765","1,650","1,738","1,825"
HA9,Four or More Bedrooms,20,"2,094","1,900","1,975","2,100"
IG1,One Bedroom,40,"1,007",938,"1,000","1,100"
IG1,Two Bedrooms,60,"1,257","1,200","1,250","1,343"
IG1,Three Bedrooms,30,"1,606","1,450","1,600","1,750"
IG1,Four or More Bedrooms,10,"2,044","1,850","1,900","2,000"
IG11,One Bedroom,100,"1,025",950,"1,019","1,100"
IG11,Two Bedrooms,100,"1,275","1,175","1,250","1,350"
IG11,Three Bedrooms,50,"1,572","1,500","1,550","1,650"
IG11,Four or More Bedrooms,10,"1,747","1,625","1,782","1,900"
IG2,One Bedroom,30,"1,030",935,"1,050","1,125"
IG2,Two Bedrooms,40,"1,249","1,150","1,225","1,350"
IG2,Three Bedrooms,30,"1,634","1,550","1,650","1,710"
IG2,Four or More Bedrooms,10,"2,150","1,900","2,175","2,400"
IG3,One Bedroom,30,936,860,900,"1,000"
IG3,Two Bedrooms,20,"1,228","1,195","1,200","1,250"
IG3,Three Bedrooms,20,"1,558","1,500","1,563","1,650"
IG3,Four or More Bedrooms,10,"1,998","1,850","1,950","2,200"
IG4,Two Bedrooms,10,"1,235","1,100","1,300","1,300"
IG5,Four or More Bedrooms,10,"1,925","1,640","1,798","2,225"
IG6,One Bedroom,30,993,890,975,"1,075"
IG6,Two Bedrooms,40,"1,231","1,150","1,200","1,300"
IG6,Three Bedrooms,40,"1,520","1,433","1,588","1,650"
IG6,Four or More Bedrooms,10,"1,942","1,650","1,775","2,100"
IG7,One Bedroom,10,965,850,975,"1,050"
IG7,Two Bedrooms,10,"1,339","1,295","1,375","1,430"
IG7,Three Bedrooms,10,"1,473","1,400","1,475","1,600"
IG8,One Bedroom,20,"1,042",950,"1,100","1,100"
IG8,Two Bedrooms,60,"1,334","1,200","1,287","1,400"
IG8,Three Bedrooms,50,"1,589","1,450","1,600","1,650"
IG8,Four or More Bedrooms,20,"1,967","1,780","1,900","2,100"
KT1,One Bedroom,30,"1,171","1,050","1,100","1,200"
KT1,Two Bedrooms,50,"1,433","1,250","1,350","1,550"
KT1,Three Bedrooms,10,"1,848","1,650","1,755","2,000"
KT1,Four or More Bedrooms,20,"2,120","1,850","2,200","2,250"
KT2,One Bedroom,40,"1,149","1,090","1,150","1,249"
KT2,Two Bedrooms,70,"1,484","1,300","1,400","1,500"
KT2,Three Bedrooms,50,"1,888","1,700","1,875","2,050"
KT2,Four or More Bedrooms,20,"2,526","1,800","2,300","2,750"
KT3,One Bedroom,20,"1,085","1,000","1,050","1,125"
KT3,Two Bedrooms,40,"1,275","1,150","1,268","1,400"
KT3,Three Bedrooms,30,"1,697","1,475","1,700","1,950"
KT3,Four or More Bedrooms,20,"2,312","2,000","2,400","2,500"
KT4,One Bedroom,20,931,865,900,"1,000"
KT4,Two Bedrooms,20,"1,292","1,225","1,275","1,400"
KT4,Three Bedrooms,20,"1,567","1,500","1,525","1,650"
KT4,Four or More Bedrooms,10,"1,965","1,750","1,900","2,266"
KT5,One Bedroom,30,"1,059",950,"1,050","1,115"
KT5,Two Bedrooms,20,"1,257","1,180","1,238","1,350"
KT5,Three Bedrooms,20,"1,708","1,550","1,750","1,850"
KT5,Four or More Bedrooms,10,"2,354","2,000","2,325","2,600"
KT6,One Bedroom,50,"1,101","1,000","1,100","1,200"
KT6,Two Bedrooms,90,"1,347","1,250","1,329","1,400"
KT6,Three Bedrooms,30,"1,567","1,313","1,608","1,825"
KT6,Four or More Bedrooms,10,"2,383","2,000","2,200","2,500"
KT9,One Bedroom,10,929,895,950,975
KT9,Two Bedrooms,10,"1,234","1,175","1,275","1,313"
KT9,Three Bedrooms,10,"1,554","1,400","1,500","1,750"
N1,One Bedroom,130,"1,663","1,500","1,650","1,798"
N1,Two Bedrooms,120,"2,149","1,863","2,112","2,415"
N1,Three Bedrooms,30,"2,797","2,375","2,817","3,012"
N1,Four or More Bedrooms,10,"3,499","3,265","3,451","3,706"
N10,One Bedroom,40,"1,291","1,200","1,300","1,400"
N10,Two Bedrooms,90,"1,530","1,332","1,450","1,600"
N10,Three Bedrooms,30,"1,853","1,528","1,900","2,100"
N10,Four or More Bedrooms,30,"2,029","1,572","1,700","2,100"
N11,One Bedroom,30,"1,139","1,049","1,150","1,200"
N11,Two Bedrooms,50,"1,316","1,207","1,333","1,400"
N11,Three Bedrooms,20,"1,593","1,350","1,550","1,800"
N11,Four or More Bedrooms,10,"2,205","1,950","2,125","2,350"
N12,One Bedroom,60,"1,166","1,125","1,153","1,230"
N12,Two Bedrooms,140,"1,423","1,300","1,400","1,523"
N12,Three Bedrooms,40,"1,794","1,615","1,800","1,950"
N12,Four or More Bedrooms,10,"2,367","2,125","2,425","2,600"
N13,One Bedroom,10,"1,126","1,050","1,100","1,200"
N13,Two Bedrooms,20,"1,381","1,249","1,375","1,475"
N13,Four or More Bedrooms,10,"2,282","2,200","2,350","2,508"
N14,One Bedroom,20,"1,117","1,073","1,100","1,190"
N14,Two Bedrooms,50,"1,322","1,250","1,300","1,375"
N14,Three Bedrooms,20,"1,851","1,650","1,750","2,100"
N14,Four or More Bedrooms,10,"2,319","2,000","2,250","2,400"
N15,One Bedroom,10,"1,077",921,"1,025","1,200"
N15,Two Bedrooms,10,"1,381","1,300","1,400","1,450"
N15,Three Bedrooms,10,"2,520","2,500","2,500","2,500"
N16,One Bedroom,150,"1,321","1,225","1,300","1,408"
N16,Two Bedrooms,130,"1,676","1,500","1,650","1,750"
N16,Three Bedrooms,50,"2,319","2,030","2,210","2,600"
N16,Four or More Bedrooms,30,"2,967","2,600","3,000","3,293"
N17,One Bedroom,10,"1,148","1,050","1,100","1,275"
N17,Two Bedrooms,10,"1,325","1,090","1,300","1,425"
N18,One Bedroom,10,998,850,925,"1,150"
N18,Two Bedrooms,10,"1,259","1,104","1,300","1,400"
N18,Three Bedrooms,10,"1,389","1,073","1,500","1,600"
N19,One Bedroom,30,"1,301","1,238","1,300","1,399"
N19,Two Bedrooms,30,"1,622","1,430","1,600","1,777"
N19,Three Bedrooms,10,"2,235","2,190","2,200","2,275"
N2,One Bedroom,60,"1,214","1,115","1,213","1,300"
N2,Two Bedrooms,110,"1,488","1,364","1,475","1,575"
N2,Three Bedrooms,50,"1,871","1,645","1,750","1,993"
N2,Four or More Bedrooms,30,"3,010","2,525","3,050","3,300"
N20,One Bedroom,30,"1,208","1,050","1,200","1,385"
N20,Two Bedrooms,60,"1,394","1,250","1,400","1,500"
N20,Three Bedrooms,20,"1,765","1,525","1,750","1,800"
N20,Four or More Bedrooms,10,"2,474","1,950","2,250","2,990"
N21,Two Bedrooms,10,"1,330","1,187","1,377","1,450"
N22,One Bedroom,10,"1,283","1,150","1,290","1,408"
N22,Two Bedrooms,20,"1,409","1,300","1,350","1,500"
N22,Three Bedrooms,10,"1,898","1,500","1,730","2,000"
N3,One Bedroom,60,"1,191","1,100","1,188","1,268"
N3,Two Bedrooms,150,"1,406","1,300","1,395","1,500"
N3,Three Bedrooms,40,"1,847","1,750","1,830","1,950"
N3,Four or More Bedrooms,10,"2,402","2,100","2,400","2,650"
N4,One Bedroom,30,"1,377","1,300","1,350","1,495"
N4,Two Bedrooms,30,"1,625","1,450","1,600","1,750"
N4,Three Bedrooms,10,"2,146","1,935","2,000","2,400"
N5,One Bedroom,30,"1,602","1,430","1,593","1,733"
N5,Two Bedrooms,30,"2,430","1,733","1,863","2,058"
N5,Four or More Bedrooms,10,"4,082","3,830","3,944","4,492"
N6,One Bedroom,10,"1,370","1,248","1,408","1,430"
N6,Two Bedrooms,20,"1,809","1,550","1,650","1,950"
N7,One Bedroom,20,"1,428","1,272","1,486","1,562"
N7,Two Bedrooms,20,"1,774","1,555","1,695","2,000"
N7,Three Bedrooms,10,"2,273","2,079","2,223","2,416"
N7,Four or More Bedrooms,10,"2,853","2,730","2,785","3,098"
N8,One Bedroom,30,"1,289","1,227","1,300","1,378"
N8,Two Bedrooms,40,"1,611","1,450","1,550","1,745"
N8,Three Bedrooms,10,"2,079","1,850","2,075","2,200"
N8,Four or More Bedrooms,10,"3,145","2,700","3,000","3,166"
N9,One Bedroom,20,964,860,960,"1,050"
N9,Two Bedrooms,20,"1,331","1,250","1,300","1,400"
N9,Three Bedrooms,20,"1,607","1,575","1,650","1,700"
N9,Four or More Bedrooms,10,"1,770","1,550","1,800","1,850"
NW1,One Bedroom,100,"1,721","1,408","1,648","1,912"
NW1,Two Bedrooms,80,"2,518","1,907","2,470","3,050"
NW1,Three Bedrooms,30,"3,316","2,345","3,087","3,300"
NW1,Four or More Bedrooms,20,"4,109","3,358","3,600","4,088"
NW10,One Bedroom,80,"1,216","1,127","1,200","1,300"
NW10,Two Bedrooms,140,"1,488","1,400","1,500","1,600"
NW10,Three Bedrooms,70,"1,940","1,800","1,916","2,145"
NW10,Four or More Bedrooms,40,"2,393","2,075","2,288","2,600"
NW2,One Bedroom,90,"1,222","1,116","1,200","1,300"
NW2,Two Bedrooms,130,"1,530","1,430","1,500","1,600"
NW2,Three Bedrooms,80,"1,964","1,797","1,950","2,000"
NW2,Four or More Bedrooms,40,"2,303","2,000","2,350","2,575"
NW3,One Bedroom,30,"1,811","1,365","1,600","1,750"
NW3,Two Bedrooms,30,"2,213","1,933","2,027","2,383"
NW3,Three Bedrooms,10,"3,069","2,730","2,900","3,606"
NW3,Four or More Bedrooms,10,"5,786","3,564","4,062","8,725"
NW4,One Bedroom,20,"1,146","1,000","1,140","1,250"
NW4,Two Bedrooms,30,"1,346","1,249","1,336","1,413"
NW4,Three Bedrooms,10,"1,856","1,650","1,799","1,950"
NW5,One Bedroom,100,"1,313","1,200","1,300","1,350"
NW5,Two Bedrooms,40,"1,676","1,460","1,535","1,900"
NW5,Three Bedrooms,20,"2,006","1,850","1,985","2,200"
NW5,Four or More Bedrooms,10,"2,708","1,863","2,595","3,467"
NW6,One Bedroom,20,"1,318","1,248","1,300","1,465"
NW6,Two Bedrooms,40,"1,775","1,550","1,700","1,928"
NW6,Three Bedrooms,10,"2,164","1,950","2,100","2,414"
NW6,Four or More Bedrooms,10,"2,621","2,037","2,360","2,850"
NW7,One Bedroom,20,"1,141","1,082","1,150","1,224"
NW7,Two Bedrooms,70,"1,454","1,350","1,400","1,500"
NW7,Three Bedrooms,20,"1,717","1,473","1,735","1,993"
NW7,Four or More Bedrooms,10,"2,753","2,130","2,400","2,840"
NW8,One Bedroom,30,"1,732","1,500","1,741","2,000"
NW8,Two Bedrooms,10,"2,387","2,145","2,385","2,700"
NW8,Three Bedrooms,10,"3,048","2,557","2,578","3,900"
NW9,One Bedroom,30,"1,139","1,050","1,150","1,245"
NW9,Two Bedrooms,60,"1,341","1,250","1,350","1,451"
NW9,Three Bedrooms,40,"1,726","1,600","1,733","1,800"
NW9,Four or More Bedrooms,20,"2,048","1,900","1,975","2,225"
RM1,One Bedroom,40,903,835,900,950
RM1,Two Bedrooms,70,"1,123","1,025","1,100","1,200"
RM1,Three Bedrooms,20,"1,365","1,350","1,350","1,400"
RM1,Four or More Bedrooms,10,"1,634","1,500","1,700","1,750"
RM10,One Bedroom,20,859,800,860,900
RM10,Two Bedrooms,20,"1,124","1,050","1,125","1,200"
RM10,Three Bedrooms,40,"1,368","1,300","1,400","1,450"
RM11,One Bedroom,20,896,870,900,950
RM11,Two Bedrooms,30,"1,111","1,025","1,100","1,200"
RM11,Three Bedrooms,20,"1,397","1,263","1,400","1,500"
RM11,Four or More Bedrooms,10,"2,330","1,700","1,700","1,750"
RM12,One Bedroom,20,902,800,875,"1,000"
RM12,Two Bedrooms,30,"1,120","1,050","1,100","1,195"
RM12,Three Bedrooms,40,"1,462","1,351","1,488","1,600"
RM12,Four or More Bedrooms,10,"1,832","1,700","1,890","1,995"
RM13,One Bedroom,20,877,850,863,950
RM13,Two Bedrooms,30,"1,065",950,"1,100","1,150"
RM13,Three Bedrooms,60,"1,362","1,290","1,350","1,450"
RM13,Four or More Bedrooms,10,"1,629","1,600","1,600","1,700"
RM14,Two Bedrooms,30,"1,177","1,050","1,200","1,350"
RM14,Three Bedrooms,20,"1,541","1,375","1,500","1,673"
RM14,Four or More Bedrooms,10,"2,204","2,000","2,225","2,575"
RM2,One Bedroom,10,897,850,875,900
RM2,Two Bedrooms,30,"1,196","1,100","1,200","1,250"
RM2,Three Bedrooms,10,"1,456","1,333","1,450","1,600"
RM3,One Bedroom,40,865,750,850,925
RM3,Two Bedrooms,40,"1,090",950,"1,050","1,200"
RM3,Three Bedrooms,50,"1,356","1,250","1,350","1,500"
RM3,Four or More Bedrooms,10,"1,624","1,395","1,500","1,975"
RM5,One Bedroom,10,839,800,850,900
RM5,Two Bedrooms,20,"1,151",985,"1,188","1,285"
RM5,Three Bedrooms,30,"1,329","1,250","1,350","1,400"
RM6,One Bedroom,20,881,825,888,900
RM6,Two Bedrooms,50,"1,110","1,050","1,100","1,200"
RM6,Three Bedrooms,30,"1,392","1,300","1,400","1,500"
RM7,One Bedroom,50,936,900,950,"1,000"
RM7,Two Bedrooms,60,"1,176","1,100","1,200","1,250"
RM7,Three Bedrooms,30,"1,365","1,340","1,350","1,400"
RM7,Four or More Bedrooms,10,"1,641","1,475","1,668","1,750"
RM8,One Bedroom,20,934,850,925,"1,050"
RM8,Two Bedrooms,50,"1,200","1,125","1,200","1,250"
